circlename,regionname,divisionname,officename,pincode,district,statename,latitude,longitude
Telangana Circle,Hyderabad Region,Karimnagar Division,Koratlapet B.O,505305,RAJANNA SIRCILLA,TELANGANA,18.35594,78.62356
Telangana Circle,Hyderabad Region,Karimnagar Division,Samudralingapur B.O,505305,RAJANNA SIRCILLA,TELANGANA,18.379074,78.589389
Telangana Circle,Hyderabad Region,Karimnagar Division,Joganapalli B.O,505460,Jagitial,TELANGANA,18.862387,78.784075
Telangana Circle,Hyderabad Region,Karimnagar Division,Kummarpalli B.O,505460,Jagitial,TELANGANA,18.899037,78.827977
Telangana Circle,Hyderabad Region,Karimnagar Division,Mootapalli B.O,505460,Jagitial,TELANGANA,18.946883,78.802867
Telangana Circle,Hyderabad Region,Karimnagar Division,Thimmapur B.O,505307,RAJANNA SIRCILLA,TELANGANA,18.577866,78.800404
Telangana Circle,Hyderabad Region,Warangal Division,Mallial B.O,506102,MAHABUBABAD,TELANGANA,17.560186,79.961567
Telangana Circle,Hyderabad Region,Karimnagar Division,Dharmaram B.O,505301,RAJANNA SIRCILLA,TELANGANA,18.445567,78.740923
Telangana Circle,Hyderabad Region,Karimnagar Division,Kanagarthi B.O,505301,RAJANNA SIRCILLA,TELANGANA,18.480075,78.757768
Telangana Circle,Hyderabad Region,Karimnagar Division,Katkur B.O,505301,RAJANNA SIRCILLA,TELANGANA,18.347911,78.758247
Telangana Circle,Hyderabad Region,Karimnagar Division,Bonala B.O,505301,RAJANNA SIRCILLA,TELANGANA,18.395852,78.778775
Telangana Circle,Hyderabad Region,Karimnagar Division,Venkatraopet B  O,505301,RAJANNA SIRCILLA,TELANGANA,18.434927,78.969125
Telangana Circle,Hyderabad Region,Nizamabad Division,BASWAPUR B.O,503305,KAMAREDDY,TELANGANA,18.3605683,77.6035566
Telangana Circle,Hyderabad Region,Karimnagar Division,Tangallapalli B.O,505405,RAJANNA SIRCILLA,TELANGANA,18.368322,78.816626
Telangana Circle,Hyderabad Region,Karimnagar Division,Akkannapet B.O,505466,SIDDIPET,TELANGANA,18.032397,79.207488
Telangana Circle,Hyderabad Region,Karimnagar Division,Dacharam B.O,505405,RAJANNA SIRCILLA,TELANGANA,18.248485,79.054828
Telangana Circle,Hyderabad Region,Karimnagar Division,Gundaram B.O,505528,SIDDIPET,TELANGANA,18.245551,78.981185
Telangana Circle,Hyderabad Region,Karimnagar Division,Repaka B.O,505528,RAJANNA SIRCILLA,TELANGANA,18.264031,78.977194
Telangana Circle,Hyderabad Region,Karimnagar Division,Tadagonda B.O,505524,RAJANNA SIRCILLA,TELANGANA,18.534319,78.943516
Telangana Circle,Hyderabad Region,Karimnagar Division,Ottimalla B.O,505524,RAJANNA SIRCILLA,TELANGANA,18.546133,78.891985
Telangana Circle,Hyderabad Region,Karimnagar Division,Mallapur B.O,505415,PEDDAPALLI,TELANGANA,18.652647,79.157395
Telangana Circle,Hyderabad Region,Karimnagar Division,Ambaripet B.O,505526,Jagitial,TELANGANA,18.796416,79.186556
Telangana Circle,Hyderabad Region,Karimnagar Division,Muthunur B.O,505526,Jagitial,TELANGANA,18.837067,79.225459
Telangana Circle,Hyderabad City Region,Sangareddy Division,Atmakur B.O,502291,SANGAREDDY,TELANGANA,17.682775,77.93443
Telangana Circle,Hyderabad Region,Karimnagar Division,Jagadevpet B.O,505526,Jagitial,TELANGANA,18.821806,79.153211
Telangana Circle,Hyderabad Region,Karimnagar Division,Achampalli B.O,505445,KARIMNAGAR,TELANGANA,18.477263,78.990659
Telangana Circle,Hyderabad Region,Karimnagar Division,Nagireddipur B.O,505445,KARIMNAGAR,TELANGANA,18.594183,79.026664
Telangana Circle,Hyderabad Region,Karimnagar Division,Kurikyal B.O,505445,KARIMNAGAR,TELANGANA,18.546296,79.002664
Telangana Circle,Hyderabad Region,Karimnagar Division,Gouravelli B.O,505467,SIDDIPET,TELANGANA,18.069237,79.120123
Telangana Circle,Hyderabad Region,Karimnagar Division,Pandilla B.O,505467,SIDDIPET,TELANGANA,18.134573,79.164024
Telangana Circle,Hyderabad Region,Karimnagar Division,Parveda B.O,505467,SIDDIPET,TELANGANA,18.160017,79.148504
Telangana Circle,Hyderabad Region,Karimnagar Division,Cheppial B.O,505501,Jagitial,TELANGANA,18.612649,78.930684
Telangana Circle,Hyderabad Region,Karimnagar Division,Vallampatla B.O,505402,RAJANNA SIRCILLA,TELANGANA,18.355288,78.933098
Telangana Circle,Hyderabad Region,Warangal Division,Anantharam B.O,506102,MAHABUBABAD,TELANGANA,17.579708,80.042347
Telangana Circle,Hyderabad Region,Karimnagar Division,Algunur B.O,505527,KARIMNAGAR,TELANGANA,18.401664,79.145894
Telangana Circle,Hyderabad Region,Karimnagar Division,Polampalli B.O,505469,KARIMNAGAR,TELANGANA,18.302695,79.237025
Telangana Circle,Hyderabad Region,Karimnagar Division,Bommakal B.O,505002,KARIMNAGAR,TELANGANA,18.446451,79.163318
Telangana Circle,Hyderabad Region,Karimnagar Division,Durshed B.O,505002,KARIMNAGAR,TELANGANA,18.460263,79.184239
Telangana Circle,Hyderabad Region,Karimnagar Division,Nallagonda B.O,505481,KARIMNAGAR,TELANGANA,18.307625,79.186513
Telangana Circle,Hyderabad Region,Karimnagar Division,Ramancha B.O,505481,KARIMNAGAR,TELANGANA,18.266836,79.145057
Telangana Circle,Hyderabad Region,Karimnagar Division,Katnapalli B.O,505531,KARIMNAGAR,TELANGANA,18.54364,79.112506
Telangana Circle,Hyderabad Region,Karimnagar Division,Koheda B.O,505473,SIDDIPET,TELANGANA,18.171449,79.093859
Telangana Circle,Hyderabad Region,Karimnagar Division,Jangapalli B.O,505530,KARIMNAGAR,TELANGANA,18.326721,79.088044
Telangana Circle,Hyderabad Region,Karimnagar Division,Tallapalli B.O,505530,RAJANNA SIRCILLA,TELANGANA,18.124347,78.965027
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Nagal Kadmoor B.O,509130,WANAPARTHY,TELANGANA,16.3752813,77.7747811
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Irladinne B.O,509130,WANAPARTHY,TELANGANA,16.3753043,77.7747922
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Mittadoddi B.O,509127,JOGULAMBA GADWAL,TELANGANA,16.0176398,77.6714337
Telangana Circle,Hyderabad City Region,Sangareddy Division,Gopanpally B.O,502221,SANGAREDDY,TELANGANA,17.67545549,77.51495292
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Rekulampalli B.O,509219,MAHABUBNAGAR,TELANGANA,16.4989232,77.8770759
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Alwalpad B.O,509133,JOGULAMBA GADWAL,TELANGANA,16.2423266,77.6194372
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Beechpally B.O,509133,JOGULAMBA GADWAL,TELANGANA,16.1612077,77.9296164
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Thimmapur B.O,509133,JOGULAMBA GADWAL,TELANGANA,16.1735577,77.9089354
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Tottinon Doddi B.O,509129,JOGULAMBA GADWAL,TELANGANA,15.9841544,77.545901
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Erikichedu B.O,509129,JOGULAMBA GADWAL,TELANGANA,16.0889349,77.5472846
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Peddamamidala Padu B.O,509128,JOGULAMBA GADWAL,TELANGANA,15.99478,77.9217
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Dharmavaram B.O,509128,JOGULAMBA GADWAL,TELANGANA,16.0575904,77.939969
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Pallepad B.O,509128,JOGULAMBA GADWAL,TELANGANA,15.9669924,77.941353
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Vallur B.O,509128,JOGULAMBA GADWAL,TELANGANA,16.0146453,77.899683
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Paipadu B.O,509126,JOGULAMBA GADWAL,TELANGANA,15.9446413,77.8634103
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Peddatandrapad B.O,509126,JOGULAMBA GADWAL,TELANGANA,15.8909545,77.7741349
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Marmungal B.O,509153,JOGULAMBA GADWAL,TELANGANA,15.9421059,78.0395629
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Pullur B.O,509153,JOGULAMBA GADWAL,TELANGANA,15.874451,78.0089239
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Yapadinne B.O,509135,JOGULAMBA GADWAL,TELANGANA,15.9819516,77.743555
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Kandur B.O,509382,MAHABUBNAGAR,TELANGANA,16.7009527,78.051753
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Polkampally B.O,509382,MAHABUBNAGAR,TELANGANA,16.7541407,78.0433791
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Gajulapet B.O,509382,MAHABUBNAGAR,TELANGANA,16.7009548,78.051714
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Bommanpad B.O,509407,Narayanpet,TELANGANA,16.7638286,77.5943745
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Gudimunkan Pally B.O,509407,Narayanpet,TELANGANA,16.867865,77.4877986
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Wathugundla B.O,509407,Narayanpet,TELANGANA,16.8128498,77.559502
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Dokur B.O,509204,MAHABUBNAGAR,TELANGANA,16.5311546,77.9425569
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Manikonda B.O,509204,MAHABUBNAGAR,TELANGANA,16.7050722,77.9531762
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Kistapur B.O,509204,Narayanpet,TELANGANA,16.612209,77.812394
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Tankara B.O,509334,MAHABUBNAGAR,TELANGANA,16.8157485,77.9518893
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Hakeempet B.O,509350,Narayanpet,TELANGANA,17.0377518,77.7460707
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Lakcherla B.O,509350,VIKARABAD,TELANGANA,17.0584593,77.7217301
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Boyapally B.O,509002,MAHABUBNAGAR,TELANGANA,16.7818434,77.9900402
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Kothapet B.O,509002,MAHABUBNAGAR,TELANGANA,16.7969438,77.9612435
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Kachwar B.O,509353,Narayanpet,TELANGANA,16.5300555,77.5614652
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Manthan Gode B.O,509353,Narayanpet,TELANGANA,16.5092612,77.6003029
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Parsapur B.O,509338,VIKARABAD,TELANGANA,17.072475,77.6469666
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Chandraspalli B.O,509371,MAHABUBNAGAR,TELANGANA,16.8113904,77.7981979
